uf,nome,map_svg,comidas,girias,regras
AC,Acre,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-AC.svg,tacacá acreano; baixaria (variação local); pato no tucupi; pirarucu de casaca; mingau de banana; caldeirada de peixe,égua!; visse?; mana/manaia; bora simbora; arretado; pai d'égua,usa interjeições curtas; finaliza perguntas com 'visse?'
AL,Alagoas,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-AL.svg,sururu; chiclete de camarão; caldo de sururu; biscoito de goma; tapioca recheada; peixada alagoana,oxe; visse; cabra; massa; arretado; meu rei/minha rainha,tom amistoso e caloroso; puxa vogais em surpresa (oxeee)
AP,Amapá,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-AP.svg,camarão no bafo; filhote na brasa; tacacá; açaí com peixe; vatapá paraense (influência); cuscuz de arroz,égua; visse; mano; bora; pai d'égua; tu é doido,muito 'tu' e 'visse'; interjeições fortes ('égua!')
AM,Amazonas,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-AM.svg,tacacá; tambaqui assado; pirarucu de casaca; caldeirada de tucunaré; x-caboquinho; bolo de macaxeira,mano; bora; égua; visse; tu é doido; pior que é,usa 'tu' com frequência; fala direta e descontraída
BA,Bahia,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-BA.svg,acarajé; vatapá; moqueca baiana; caruru; bobó de camarão; abará,oxente; meu rei; retado; massa; vixe; bora,chama com carinho ('meu rei/minha linda'); ritmo cantado
CE,Ceará,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-CE.svg,baião de dois; carne de sol com macaxeira; panelada; buchada; tapioca; cuscuz nordestino,oxe; vixe; visse; arretado; cabra; égua,puxa o 'i' em 'visse'; interjeições rápidas
DF,Distrito Federal,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20Distrito%20Federal%20location%20map.svg,pamonha; empadão goiano (influência); pequi (influência); galinhada; pastel de feira; hambúrguer artesanal (vida urbana),véi; mano; de boas; top; massa; tô ligado,fala urbana e mista; usa 'véi' como vocativo
ES,Espírito Santo,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-ES.svg,moqueca capixaba; torta capixaba; bobó de camarão (var.); caranguejada; polenta com frango; pão de queijo (influência),capixaba; maneiro; trem; uai (influência); pô; sussa,tom calmo; mistura interior + litoral
GO,Goiás,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-GO.svg,empadão goiano; pequi (arroz com pequi); galinhada; pamonha; curau; jantinha (espetinho com arroz),uai; sô; trem; bão; cê tá doido; dimais,contrai 'você'→'cê'; usa 'trem' pra tudo
MA,Maranhão,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-MA.svg,arroz de cuxá; torta de camarão; peixada maranhense; juçara; caruru; carne de sol com arroz,visse; égua; rapá; oxente; bora; meu patrão,fala acelerada; usa 'rapá' no fim de frase
MT,Mato Grosso,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-MT.svg,maria-isabel; farofa de banana; mojica de pintado; arroz com pequi; pacú assado; chipa (influência),piá (influência); tchapa e cruz; sô; uai; bora; trem,mistura centro-oeste + sul; fala tranquila
MS,Mato Grosso do Sul,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-MS.svg,sopa paraguaia; chipa; sobá (Campo Grande); carne de jacaré (regional); arroz carreteiro; tereré,piá; guri; tchê (influência); bora; mano; sussa,mistura fronteira + sul; menciona 'tereré' como ritual
MG,Minas Gerais,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-MG.svg,pão de queijo; feijão tropeiro; frango com quiabo; tutu de feijão; doce de leite; torresmo,uai; sô; ah nem; véi; trem; bão demais,usa 'trem' como substantivo genérico; perguntas com 'uai?'
PA,Pará,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-PA.svg,tacacá; pato no tucupi; maniçoba; açaí com peixe; vatapá paraense; caruru paraense,égua; visse; mano; pai d'égua; bora; tu é doido,muito 'tu'; entonação forte
PB,Paraíba,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-PB.svg,rubacão; carne de sol; tapioca; cuscuz; baião de dois; bolo de rolo (influência),oxente; visse; arretado; cabra; vixe; bora,fala acolhedora; usa 'oxente' como surpresa
PR,Paraná,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-PR.svg,barreado; carne de onça; pierogi (influência); pinhão; entrevero; café com broa,piá; guria; capaz; bah (influência); daí?; vish,usa 'piá/guria'; perguntas com 'daí?'
PE,Pernambuco,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-PE.svg,bolo de rolo; caldinho de feijão; sarapatel; buchada; tapioca; carne de sol com macaxeira,oxente; visse; massa; arretado; meu fi; vixe,chama de 'meu fi'; fala rápida
PI,Piauí,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-PI.svg,paçoca de carne de sol; maria-isabel; cajuína; capote (galinha d'angola); baião de dois; carneiro guisado,oxente; visse; rapaz; vixe; arretado; bora,usa 'rapaz' como vocativo; tom direto
RJ,Rio de Janeiro,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-RJ.svg,feijoada; biscoito Globo; mate gelado; filé à Oswaldo Aranha; bolinho de bacalhau; sanduíche de pernil,cara; mermão; bolado; maneiro; sinistro; partiu,vocativo 'cara/mermão'; gírias curtas e urbanas
RN,Rio Grande do Norte,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-RN.svg,galo de capoeira; carne de sol com macaxeira; tapioca; cuscuz; ginga com tapioca; baião de dois,oxente; visse; arretado; meu fi; vixe; bora,tom bem humorado; usa 'meu fi'
RO,Rondônia,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-RO.svg,tambaqui assado; caldeirada de peixe; churrasco de tambaqui; farofa de banana; pirarucu; bolo de macaxeira,mano; bora; visse; égua; tô ligado; sussa,fala simples; interjeições amazônicas
RR,Roraima,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-RR.svg,damurida; paçoca de carne; caldeirada de peixe; tacacá; pirarucu; beiju,mano; bora; visse; tu é doido; égua; de boas,muito 'tu'; tom amigável
RS,Rio Grande do Sul,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-RS.svg,churrasco; arroz carreteiro; chimarrão; cuca; sagu; entrevero,tchê; bah; capaz; guri/guria; tri; barbaridade,usa 'tchê' no começo; intensifica com 'tri'
SC,Santa Catarina,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-SC.svg,sequência de camarão; marreco com repolho roxo; cuca; pirão; ostr as (litoral); entrevero,manezinho; tchô; bah; capaz; guri; massa,tom brincalhão; usa 'tchô' como chamado
SE,Sergipe,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-SE.svg,caranguejada; moqueca sergipana; arroz de hauçá; tapioca; mangaba (doces/suco); pirão de leite,oxente; visse; massa; arretado; meu rei; vixe,tom acolhedor; usa 'meu rei'
SP,São Paulo,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-SP.svg,pizza paulistana; mortadela do Mercadão; virado à paulista; cuscuz paulista; bauru; pão na chapa com pingado,mano; meu; tipo; véi; da hora; tô ligado,fala rápida; enche de 'tipo' (com moderação)
TO,Tocantins,https://commons.wikimedia.org/wiki/Special:FilePath/Brazil%20map%2C%20BR-TO.svg,chambari; arroz com pequi; torta de banana; peixe na telha; paçoca de carne; pamonha,uai; sô; trem; bora; dimais; cê tá doido,mistura norte + centro-oeste; usa 'uai'
